time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_mean
2025-05-27,31.9,24.6,0.7,71
2025-05-28,35.1,26.1,0.0,61
2025-05-29,34.1,25.9,3.8,64
2025-05-30,29.9,25.0,20.6,82
2025-05-31,32.8,24.2,0.0,65
2025-06-01,37.2,24.6,0.4,62
2025-06-02,38.0,25.5,0.0,55
2025-06-03,37.7,26.1,0.2,53
2025-06-04,37.7,26.6,0.8,55
2025-06-05,38.5,26.5,0.1,48
2025-06-06,38.9,26.4,0.5,48
2025-06-07,39.5,26.5,0.1,48
2025-06-08,39.2,26.5,1.6,49
2025-06-09,37.5,26.1,2.3,52
2025-06-10,38.2,26.9,0.5,51
2025-06-11,38.0,26.1,3.3,63
2025-06-12,37.3,25.1,1.4,58
2025-06-13,37.3,27.2,0.7,54
2025-06-14,35.2,24.9,2.7,62
2025-06-15,32.5,25.2,6.0,67
2025-06-16,33.2,24.6,0.2,65
2025-06-17,35.3,26.6,0.0,57
2025-06-18,37.8,25.4,0.8,56
2025-06-19,37.7,26.5,1.9,57
2025-06-20,38.5,26.6,1.3,52
2025-06-21,38.4,26.3,0.4,50
2025-06-22,38.5,26.7,0.2,51
2025-06-23,34.5,27.1,0.0,54
2025-06-24,37.5,26.4,0.1,52
2025-06-25,37.4,25.9,1.6,55
2025-06-26,33.9,26.6,0.0,58
2025-06-27,38.4,25.9,1.9,53
2025-06-28,37.5,26.8,1.1,52
2025-06-29,37.8,25.9,0.0,49
2025-06-30,38.5,26.7,0.0,47
2025-07-01,37.8,27.0,0.0,48
2025-07-02,37.2,27.4,0.7,50
2025-07-03,37.8,27.6,0.0,47
2025-07-04,40.0,26.6,0.0,43
2025-07-05,38.7,26.5,0.3,46
2025-07-06,39.0,26.2,0.5,48
2025-07-07,39.3,26.5,0.8,49
2025-07-08,39.2,26.6,0.3,47
2025-07-09,39.5,26.6,0.1,46
2025-07-10,39.8,27.1,1.0,47
2025-07-11,38.5,27.0,1.8,49
2025-07-12,39.0,26.3,0.0,52
2025-07-13,39.3,26.8,0.5,48
2025-07-14,38.9,27.3,0.5,49
2025-07-15,38.3,26.3,0.2,48
2025-07-16,37.5,27.0,0.9,54
2025-07-17,38.8,26.0,0.0,51
2025-07-18,37.3,27.5,0.2,52
2025-07-19,33.4,26.0,4.9,64
2025-07-20,34.3,26.0,0.4,58
2025-07-21,34.7,25.8,0.0,55
2025-07-22,34.4,25.9,0.2,61
2025-07-23,32.9,26.5,0.0,57
2025-07-24,33.1,25.0,0.5,62
2025-07-25,33.4,27.1,0.4,56
2025-07-26,31.4,25.7,5.0,64
2025-07-27,36.3,24.5,0.0,51
2025-07-28,39.3,26.0,2.0,45
2025-07-29,40.5,26.3,0.6,43
2025-07-30,40.2,26.5,0.2,44
2025-07-31,38.7,27.0,0.0,51
2025-08-01,39.2,27.0,0.7,54
2025-08-02,37.7,26.1,2.9,61
2025-08-03,37.0,25.8,29.7,67
2025-08-04,36.0,25.2,7.9,71
2025-08-05,34.7,24.5,9.2,73
2025-08-06,35.4,24.0,0.7,65
2025-08-07,36.8,24.6,1.1,59
2025-08-08,36.5,25.8,5.3,63
2025-08-09,35.6,24.9,18.5,75
2025-08-10,34.1,24.5,6.9,78
2025-08-11,33.6,24.6,1.0,69
2025-08-12,33.8,24.2,0.6,64
2025-08-13,34.0,23.9,0.2,62
2025-08-14,35.6,24.6,0.0,58
2025-08-15,35.7,25.0,1.0,62
2025-08-16,34.7,24.5,0.0,59
2025-08-17,34.2,25.8,0.0,58
2025-08-18,37.0,26.0,0.0,53
2025-08-19,39.0,24.1,0.0,47
2025-08-20,39.2,24.7,0.0,46
2025-08-21,39.3,25.6,0.2,46
2025-08-22,36.6,27.0,2.8,56
2025-08-23,35.0,25.7,1.4,62
2025-08-24,38.2,25.6,0.2,50
2025-08-25,39.8,26.0,0.3,47
2025-08-26,38.3,26.0,0.2,50
2025-08-27,35.6,26.6,0.2,53
2025-08-28,36.0,26.8,0.6,54
2025-08-29,38.3,26.1,0.6,54
2025-08-30,38.8,26.5,2.3,53
2025-08-31,37.5,26.1,0.2,55
2025-09-01,37.8,26.1,0.4,54
2025-09-02,38.2,25.6,0.1,48
2025-09-03,38.5,25.6,0.8,50
2025-09-04,38.9,25.6,8.5,52
2025-09-05,37.8,26.7,3.8,54
2025-09-06,38.5,26.0,0.1,55
2025-09-07,39.0,26.2,5.9,57
2025-09-08,38.3,26.2,1.5,58
2025-09-09,38.2,25.5,8.2,63
2025-09-10,37.0,25.4,13.7,74
2025-09-11,35.3,25.0,13.8,75
2025-09-12,34.2,25.0,0.0,63
2025-09-13,35.2,24.8,0.2,62
2025-09-14,37.0,24.0,0.9,57
2025-09-15,36.7,25.2,0.0,56
2025-09-16,38.2,25.4,12.0,63
2025-09-17,36.2,25.5,16.4,71
2025-09-18,33.2,24.4,10.6,79
2025-09-19,32.0,25.2,1.3,72
2025-09-20,34.7,24.5,0.1,67
2025-09-21,36.0,25.4,3.4,61
2025-09-22,37.5,25.6,0.2,52
2025-09-23,37.3,26.5,0.0,51
2025-09-24,35.5,26.5,0.2,52
2025-09-25,37.0,25.5,3.5,56
2025-09-26,37.4,25.0,0.0,57
2025-09-27,36.9,26.0,0.0,55
2025-09-28,36.5,27.3,0.8,52
2025-09-29,38.1,26.8,0.0,49
2025-09-30,39.8,25.1,0.0,46
2025-10-01,39.6,25.6,0.1,45
2025-10-02,38.8,26.6,1.1,49
2025-10-03,38.5,26.8,2.6,54
2025-10-04,33.7,25.4,7.5,76
2025-10-05,35.0,24.5,27.1,80
2025-10-06,34.7,23.4,0.0,72
2025-10-07,34.2,24.6,9.0,71
2025-10-08,33.3,23.8,13.9,75
2025-10-09,34.5,24.2,11.8,72
2025-10-10,34.5,24.4,2.2,78
2025-10-11,34.8,24.7,7.1,74
2025-10-12,34.0,24.2,4.8,76
2025-10-13,34.2,23.8,16.9,76
2025-10-14,30.9,23.0,33.5,86
2025-10-15,30.9,23.9,6.6,84
2025-10-16,28.2,23.8,23.3,92
2025-10-17,29.0,23.4,21.9,90
2025-10-18,31.1,23.1,16.1,85
2025-10-19,31.2,23.0,10.8,86
2025-10-20,27.6,23.2,12.7,90
2025-10-21,27.2,23.5,25.4,93
2025-10-22,31.5,23.3,6.7,84
2025-10-23,30.6,23.9,0.4,81
2025-10-24,31.2,24.5,1.8,82
2025-10-25,32.8,23.9,0.0,79
2025-10-26,31.7,24.1,0.0,74
2025-10-27,29.1,23.8,6.3,83
2025-10-28,31.8,23.6,0.5,75
2025-10-29,33.4,23.7,0.0,67
2025-10-30,33.2,23.5,0.0,67
2025-10-31,33.0,23.5,0.0,66
2025-11-01,35.0,24.5,0.0,61
2025-11-02,34.5,25.2,0.0,58
2025-11-03,35.0,24.6,0.0,56
2025-11-04,35.2,25.3,0.0,57
2025-11-05,35.2,25.8,5.4,62
2025-11-06,35.0,25.1,0.1,61
2025-11-07,33.7,26.0,0.0,64
2025-11-08,33.7,22.8,4.3,65
2025-11-09,32.7,23.7,4.0,67
2025-11-10,33.5,24.0,4.1,71
2025-11-11,32.8,24.1,2.2,75
2025-11-12,31.5,23.5,5.7,79
2025-11-13,33.3,24.5,1.5,72
2025-11-14,31.0,23.9,2.1,71
2025-11-15,33.1,23.3,0.0,59
